Transaction ID,IP,City,Lat,Lng,Continent,Capital,Country,Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
db096aac-6835-495e-aaa3-4d82665d156a,147.17.133.152,Waltham,42.40632,-71.27939,North America,"Washington, D.C.",United States,2023-04-15 20:28:31,2500.93,Ishaan Garg,5fe7ab9bdea6721e7c523955e87a8999defb3757ca72f618dab00040e8ca096e,Sachdeva Inc,3539,Saharanpur,EUR,American Express,10/28,9f6cb78c09b22a1a10564f6be4a1784327a42ff11a10a31d355435db59f44710,5,1,1,In-Person,147.17.133.152,Desktop,,Natus voluptates officiis quod delectus corrupti molestias. In in esse facilis iusto consequatur.
5aca5952-cc27-4d6f-b612-d7af473b73e1,17.97.43.210,Cupertino,37.32268,-122.03005,North America,"Washington, D.C.",United States,2020-04-28 08:36:05,3369.3,Kiara Kalla,feb56808a58530999fc24d497c08921d8d5605ce81c6b8c3cdba1ebd30a8a2b9,Ramaswamy-Swamy,2732,Kanpur,EUR,American Express,11/25,8eba3ded9f5f3cbb5ed3e427e665cdae058aa4a677d92d895aefc4729477a1e5,0,1,2,Online,17.97.43.210,Desktop,,Pariatur labore earum doloribus itaque. Architecto sit ad velit unde culpa.
49520297-ce2d-4f75-8e00-3c17ee827f03,99.111.217.227,Oshkosh,44.02471,-88.54261,North America,"Washington, D.C.",United States,2021-04-28 07:49:31,4550.32,Mohanlal Dani,a3f9eecfd39b4997172015b7b96e81c587e5062fec89a20c02f5cc4b3fd5456b,Rajagopal-Venkatesh,4371,Rourkela,INR,Visa,02/32,fc95ce176603e9e1d1ffee39023b31dd856e00ad030526902604ed2a68a12c4b,12,1,3 or more,Online,99.111.217.227,Mobile,,Dignissimos blanditiis consectetur harum modi dolorem fugit architecto. Libero error exercitationem.
73ab78f4-f0bc-45c6-a424-4e07fb208ec8,12.8.122.125,Tallahassee,30.50965,-84.24872,North America,"Washington, D.C.",United States,2023-07-28 12:12:55,889.58,Dhanush Ben,a1370ba627718d2c8de830d559985515542d046401dc14308cda6b6ae588cf07,"Shah, Gala and Barad",8907,Bhind,USD,Visa,02/31,6ffbae9aaff664bd4739f51a6c7883a2c3ce74e9227a6aff728d0d57ad56f234,12,1,1,Online,12.8.122.125,Tablet,,"Dicta natus odit magnam. Deserunt blanditiis dolorem consequuntur illo.
Laborum quasi amet placeat ad. Nemo laudantium dicta reiciendis debitis ut soluta. Nihil fugit debitis ipsum officia."
0e2f402f-ae7c-4a77-98d2-628dfd46c53c,165.10.134.174,Ferndale,-26.09221,28.00422,Africa,Pretoria,South Africa,2020-12-29 22:18:58,4611.56,Hunar Zachariah,77408d75ba23c7d89d6f380846f22b5fce14969762b91e2351392acc571e4ee4,"Basu, Goyal and Vig",9855,Guntakal,INR,MasterCard,11/29,f747870ae666c39b589f577856a0f7198b3b81269cb0326de86d8046f2cf72db,5,1,,Online,165.10.134.174,Desktop,,Fuga exercitationem aperiam incidunt. Ut voluptate beatae sint atque assumenda exercitationem. Quo harum earum et molestiae deleniti eius quas.
fd7465c8-0c78-4f8c-b483-6f9206272c3d,159.90.91.169,Caracas,10.50526,-66.91776,South America,Caracas,Venezuela,2022-01-26 05:00:32,4542.61,Vihaan Warrior,1f59e3b125334e4cd4381d054179c7b694807d6cd79d537a3ca70e405ac8d5f7,"Bhat, Garde and Suri",3476,Barasat,INR,Visa,07/31,aaf01d71b55e51b1a3051cbb3cdc0646578dcda722b2922072a81f257b1a9821,0,1,1,Online,159.90.91.169,Tablet,,Fuga modi consequuntur molestiae maxime voluptatem pariatur. Nemo occaecati tempora nesciunt harum. Soluta sit occaecati quos temporibus impedit nihil.
a150e342-5700-42fe-97c7-05402eab2f78,134.50.160.26,Pocatello,42.86198,-112.4332,North America,"Washington, D.C.",United States,2022-03-21 11:54:06,957.3,Eshani Devi,ec87277fb756c4b2f0787c0c8076a6de176eb1e52719e5c34fdd8dfa80d32043,Raman Inc,4391,Jammu,EUR,American Express,09/31,613854558120137287d7edd940f2614df8626eefc055bf3c2ed882c115038faa,0,1,1,In-Person,134.50.160.26,Tablet,zaurora,Ut maiores mollitia optio et dicta. Dicta possimus non quidem modi debitis. Facere odio saepe repellendus.
fcbcea92-3964-465e-88e2-10130ce61724,138.49.4.246,La Crosse,43.81295,-91.23001,North America,"Washington, D.C.",United States,2020-03-16 04:15:41,4765.67,Shalv Thaman,be39052e864beb027b0918d8933ff4f766c514dce41fc1c5fa62b26b2e9a3328,Bhavsar-Vohra,9468,Bhilwara,USD,American Express,07/25,94f8607915dff25f013e45fc0642fb9830b0fb25ab0ab46d477eaf1061def379,5,1,1,In-Person,138.49.4.246,Desktop,akarsh96,Nihil nulla mollitia. Recusandae explicabo cumque tempore. At dignissimos exercitationem fugit voluptas. Praesentium consectetur dolores nisi nemo consectetur blanditiis.
e4c3ae6c-b795-40aa-b59c-23d346649cb3,195.59.118.107,Bude,50.81594,-4.54661,Europe,London,United Kingdom,2021-07-14 03:53:30,607.48,Riya Mangal,906a964f488ca1c94bf17d7ba150c9e94fce0d1d3c9f0303965a015462c10f4f,Jha PLC,2455,Hazaribagh,INR,Visa,12/29,718127812c05853f0bec61582a4a3840b1c844fe11fe1a004b5b7eb8b8b59846,5,1,1,In-Person,195.59.118.107,Tablet,gbaral,"Rerum enim beatae rem corrupti consectetur dolor.
Voluptates commodi ipsam expedita perspiciatis quibusdam quos cum. Laudantium veritatis maxime culpa ipsa mollitia omnis."
22ef7661-c099-41ca-94f6-86ae0e1b9a1f,192.221.61.154,Monroe,32.58997,-92.06862,North America,"Washington, D.C.",United States,2022-01-01 13:51:13,3976.34,Charvi Goda,1715fdbccacad0fc21b36a4f881cfcf9c3595dd5c5e100dcee1e197c73e79085,"Babu, Chauhan and Kala",2425,Madanapalle,USD,MasterCard,12/25,406b783f721b16ffbe467c444fae075231ec3a21b14cff2a8f376338a89e339a,0,1,3 or more,In-Person,192.221.61.154,Mobile,stuvanedwin,Ut minus soluta quas quisquam nihil. Enim inventore fugit doloribus a animi. Illo quas praesentium numquam. Animi beatae consectetur fugiat esse soluta saepe.
86debd0e-fcb8-428d-a7be-f0d887c95ad0,79.158.222.192,Madrid,40.51606,-3.663,Europe,Madrid,Spain,2021-02-03 10:47:44,3135.61,Sumer Shanker,b0e22ef489d292aa8309737b7bcf13e5562e519e92b84429d88a40d22fd5ad8f,Chaudry PLC,6000,Sultan Pur Majra,EUR,MasterCard,12/23,d2f4eb77ffb11b01e93fcff593b65ed60346f16feae59c17b0bea079c87b82ff,0,1,2,In-Person,79.158.222.192,Mobile,,Fugiat ipsum repellat mollitia recusandae rerum reiciendis maiores. In veniam inventore. Aut id deleniti eum velit voluptatibus odio.
6e24cf4f-6511-463f-9d0e-2ef2a78d12f5,217.84.90.74,Darmstadt,49.86571,8.62604,Europe,Berlin,Germany,2021-09-05 11:41:45,4616.18,Renee Thaman,947a90f7c718538f510efcefb960157490ad36604ef53ee37bcd57d706d55749,Kalla Ltd,9403,Morena,INR,American Express,05/24,d7cdaa5ca0582076c8e772cce739e32c5077cfd24f2ea33f04bb754594989a56,0,1,1,Online,217.84.90.74,Desktop,anviganesh,"Voluptate dolores sint ex reiciendis. Hic voluptates aliquam ab libero dolor neque. Tempora quos nesciunt non reiciendis placeat in.
Facilis officiis eligendi quibusdam. Ex quidem ipsum nam."
170484b0-4c41-4d3e-b20d-87db68305d71,216.149.108.115,Ashburn,39.01121,-77.4712,North America,"Washington, D.C.",United States,2021-04-18 12:51:21,1840.78,Taran Dara,e7773e98522f09511bb8d3d0ad2c175a6c6318853ae4a2d24163718437726f0a,Sama and Sons,6097,Orai,USD,Visa,01/29,a917ca757ac59f9d568616140c2f72362fc2722ab277e7b5019008f280f17beb,12,1,,Online,216.149.108.115,Tablet,,Doloremque cupiditate cumque. At quo quas dolore. Voluptas assumenda occaecati blanditiis libero.
39e215ee-7979-41ec-8e25-c2eea19bc8a8,110.206.230.96,Yiyang,28.57007,112.35504,Asia,Beijing,China,2022-10-26 13:35:49,4107.99,Manjari Maharaj,fd6f607e3fe932a846c77b09d48b4345e5323f378f605da071b853783d298add,Halder-Deshpande,8534,Chinsurah,USD,MasterCard,03/33,8d1ede4f889e0ed6f0823d8c1821905b9de37a0f851dc270df0dbf72b3c93641,12,1,1,Online,110.206.230.96,Tablet,edua,"Quod commodi adipisci repellendus reiciendis. Aut dicta accusantium possimus iure ipsam. Soluta blanditiis nostrum minus iusto sit.
Fuga qui alias. Porro perferendis nam enim aliquam sed similique."
8ac34444-08a3-4d8e-b6d2-ba5917a6b25c,193.45.0.241,Stockholm,59.33257,18.06683,Europe,Stockholm,Sweden,2021-02-28 12:25:05,4654.42,Himmat Mahajan,1e17715ef08b746e8e7028433396f487f862d1d0c8f5936701b8b476c10c97e3,Kibe LLC,3167,Thiruvananthapuram,USD,Visa,08/25,4a30a219a9d7663fdd35c0a5df49c8d55018f13a0c53e10dd8efe8f7e4cc5d89,0,1,,Online,193.45.0.241,Mobile,seshadrikanav,Provident cum ducimus saepe nam. Nihil quaerat beatae. Placeat eligendi ab facilis.
44b452ff-aa03-45a6-acca-b2ce34d39aea,200.142.161.16,Rio de Janeiro,-22.91216,-43.17501,South America,Brasilia,Brazil,2020-09-25 15:23:51,289.54,Vihaan Sabharwal,d7c03d69092297b24ca21676d0689ff1c1c15a531bedc866bc76ddbd8c4ecf26,Kannan-Comar,9002,Kanpur,EUR,American Express,09/33,9e04a49e5786695116f9af28552da3083d4eeb015294b878d27053439e363cdf,0,1,3 or more,In-Person,200.142.161.16,Tablet,,Hic facilis eveniet velit error. Vitae voluptates nam velit quasi culpa labore quo. Perspiciatis rem voluptatem aliquid modi.
ed4f26ab-21e8-4d74-b10a-516fc44da8ab,192.50.196.47,Chiyoda City,35.69156,139.76755,Asia,Tokyo,Japan,2020-03-31 03:56:14,4058.71,Miraya Toor,da995120d8cb62cf2ee0e858b9b16d4a6f8820710f3254d02aaba3f096169976,Bhandari-Dyal,4243,Kamarhati,INR,American Express,06/31,4d0198f4905a08812518045d62dd366a485d24e9e070ce9fc9a34abf4e5af6bd,0,1,1,Online,192.50.196.47,Tablet,,"Fuga dolore quas illo aspernatur accusantium earum. Nam quod rem nesciunt et. Voluptatem omnis doloribus repellendus voluptatum.
Praesentium beatae modi ea et fugiat molestias. Laborum in fugit."
609f1e0c-16bf-4cd8-9f32-258dd5c12411,17.254.172.50,Cupertino,37.32268,-122.03005,North America,"Washington, D.C.",United States,2022-06-01 20:41:02,3135.97,Shamik Ramakrishnan,29fbdeb224b05e70af045d1fdefde498d6de9e05d876f79b910aad3ba602caf2,"Shroff, Kala and Sama",6398,Jamshedpur,EUR,Visa,07/31,68f10bf021d7734e071e07bbf561aa0f1bfc7974f266f71311b9177b177d39d1,12,1,2,Online,17.254.172.50,Desktop,mkohli,"Sint molestiae quaerat repudiandae blanditiis.
Odio iusto cum ex architecto nulla sunt quisquam. Debitis magnam ipsam nemo omnis qui."
