Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
3/28/2023 12:05,225.49,Biju Varghese,f4636ad0ec5883b38f1b52092b777fc87b700000168d0df90a9ad65af84afb83,Viswanathan Inc,3941,Jehanabad,EUR,Visa,Mar-32,b1585fdb272b31401eaac5dd46a936c1c09b4861e53e23f12ac72fc077b3c82c,5,8c84a156-5243-490b-9fdc-1bd3370e0170,0,None,In-Person,206.97.151.23,Mobile,ydevi,Esse modi distinctio similique fugit dolores. Deleniti blanditiis distinctio magni dignissimos delectus. Neque tempore excepturi dolore.
6/9/2021 01:55,2523.81,Eshani Hora,89fc7deabfbf4c8d2868b814d30ebaebaf9bfde3804d99a5ea27ce1c6c2d867b,"Rama, Mand and Babu",3843,Rajahmundry,INR,MasterCard,26-Apr,2f1d593cd98cb5bf81eb9d880221122342784ac5fb7f41f2b137006bafc92e39,0,b1f162a1-ccc0-4efd-ad39-cb980653976c,0,1,In-Person,148.153.39.189,Desktop,rganesh,Magni voluptatem nobis. Ipsa inventore occaecati. Maiores dolores veniam minus excepturi quos. Sapiente at accusamus nostrum.
5/9/2021 20:52,425.36,Hridaan Kakar,4f377d8a7da9d0fc98a7d7c242555fa7f1af52dca2c86d5fea15422a945060e7,Arya and Sons,1783,Pondicherry,INR,American Express,Apr-32,8daea4d2b044cd2b5e634f1ecf141633c74d141aae20fc426945317f4f5f8177,12,2b89d7b8-b417-4945-b225-d2887895a86f,0,2,In-Person,176.155.156.130,Mobile,tushar82,"Facere aperiam quod earum eius. Numquam impedit voluptas iusto recusandae labore ullam.
Fugit architecto deserunt exercitationem. Sequi tempora vero odit quod repellat. Hic neque id aperiam quod."
1/21/2022 08:15,4680.57,Advik Kunda,318b14fddc75ae1f1cab964b92b5dea9766dfe4838430c7b5082728e8d264cac,Tank Ltd,1307,Madhyamgram,INR,Visa,Jan-33,a73b320dc0d3a57c03f897eb28ca91e623c5ee635db59476ba3178c90b94019f,0,8206b085-675f-438d-9b78-8c0db6a83ac1,0,None,Online,195.176.57.10,Mobile,zoyazacharia,"Magnam quas in at asperiores. Minima voluptas praesentium velit dolorum sapiente harum.
Adipisci sapiente ratione eaque deleniti.
Vel fugit nemo. Ullam occaecati eos quis."
1/21/2022 09:55,4892.13,Keya Sur,15be037d55bf1313340e1affedb0192abb487cd5a084e9a24efc09079eec8ad1,"Chand, Issac and Saxena",1966,Chapra,INR,American Express,25-Dec,cbf2f7864f1c988391a9ab199627a29bd60987da067748c2812b75785d7ec151,5,d9851466-b90e-4f72-a9cc-5bff81f3bf0b,0,3 or more,Online,203.184.247.19,Tablet,,Vero eaque nostrum vel voluptas vel. Assumenda cum possimus cupiditate voluptatem.
8/29/2022 20:38,4099.16,Badal Mandal,05d0827ef681aa045f3b544cbd13d571c47645a0f8b8803cede71d0834a085a9,"Bhagat, Devi and Varughese",3485,Mahbubnagar,INR,MasterCard,Jun-31,515ca6ef2552077adeca312c5abd2347fbfa746164987ecc4e984a59854180a8,0,7227d4e0-7f54-4280-b67b-f94fe70cd740,0,None,Online,110.193.208.62,Mobile,,"Ex provident placeat vitae aliquid. Hic deleniti praesentium ratione sit. Vero ad ipsum dicta.
Porro fugit hic iusto mollitia. Doloribus cum natus odit. Nisi porro amet sit ipsum omnis."
3/24/2023 23:12,4063.55,Mahika Balakrishnan,4fd2b7eb91d9348ac1f090f877cc6b2249748b0477e98d783bf14d710898e0f5,Bhagat PLC,6682,Naihati,EUR,MasterCard,27-Dec,ff2ccb6ba423d356bd549ed4bfb76e96976a0dcde05a09996a1cdb9f83422ec4,0,e90c4375-3bde-4990-891b-28c6775983d5,0,3 or more,In-Person,156.128.54.192,Tablet,,"Quos corrupti ex facere sed doloribus.
Asperiores temporibus saepe voluptas pariatur distinctio dolorem suscipit. Voluptates dolore optio minima. Ducimus quasi possimus quis."
1/15/2022 03:28,1722.27,Rania Brar,590f264781fff7c9b61d206c2bf7112211e21502ac806d85bddd4a643224a14a,"Chakraborty, Kannan and Sachdeva",2443,Gurgaon,INR,MasterCard,26-Mar,58ec1b25c481b2c27fa032f9d266f05d5f77a9189f29423994407592ed520d7d,5,24fa91f5-db5c-42af-99fe-4363e7c40ab4,0,3 or more,In-Person,118.179.207.242,Desktop,wgulati,Animi ducimus accusantium dolore unde error. Dolores minus sit vitae. Necessitatibus numquam sit corporis. Sit ipsum sequi totam voluptatum dignissimos.
3/10/2021 05:32,1585.49,Hrishita Gera,86355810237962a17c472e32617846278df42ffd1b8a32fea8e23d6f427abb76,"Dhar, Bose and Bhandari",1004,Haldia,EUR,MasterCard,28-Oct,43f64dc77762f69f9f52d5f70b53170679cb9abfc688f4cf77bdfc8077f022bc,0,54dade5d-43f7-4639-bf93-a02585d3c27c,0,2,In-Person,145.90.146.206,Tablet,zararanganathan,"Nisi odio nulla. Vel minima quos nemo incidunt.
Blanditiis quas deleniti ipsum delectus omnis facilis. Molestias ad occaecati iste dolores amet."
3/31/2023 18:01,2864.96,Advik Amble,ed60b52adb37f0a35e1cf0d17ffacbe1287d376ee6934b873378e6acea4ac744,Reddy Ltd,4096,Srikakulam,INR,American Express,28-Oct,99a0b871c9047c4f5555fcf062e0623174bae38746fece6efdf032d80fb2221a,0,4c538a3f-a9fc-422c-ba4a-d061365209b3,0,None,Online,165.153.154.141,Tablet,,"Exercitationem inventore rerum.
Optio ex veritatis debitis. Animi natus nobis perferendis ipsum."
