Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
1/7/2021 21:53,376.44,Mohanlal Balakrishnan,4721806eed8f2663bb597ff13e79a294de318358fbb54bcd4d282ef617d1fc67,Konda-Sodhi,5686,Ramagundam,USD,Visa,25-Sep,891d46993a36d78392247c642138cede01d9841daab1d945709755b5194597c4,05,b208ae0b-4c4f-428f-b6b9-5360b288b947,0,2,In-Person,153.136.24.104,Tablet,,"Cupiditate repellendus necessitatibus quo occaecati. Maiores cupiditate doloribus. Eos voluptatum accusantium repellat. Fuga iste dolorum possimus cupiditate.
Ex quaerat unde quo velit alias animi."
7/25/2021 18:24,1212.14,Neelofar Sangha,661297314dafe0945aca76d1463f27d404f4e535323217444777ed74d0270ef6,"Sachar, Gera and Deol",8036,Agartala,USD,MasterCard,Feb-30,367461e6dd07bdb57342cb64b2a8d8e0fa13c53842a95ec20a90d35bdd6eb77f,00,6eab203f-abdc-442d-91c9-e4b4e64d2719,0,1,In-Person,218.154.139.160,Desktop,,Nemo molestiae provident necessitatibus. Sapiente natus dignissimos similique id. Commodi similique sequi labore deleniti.
5/8/2022 10:49,1117.52,Samiha Ravi,b4f56d425e0ce79c2c27153c2daf9de1a73b1d3be5b6e78d075003f76e4ce89f,"Bhasin, Jain and Chada",5678,Dehri,EUR,Visa,26-Sep,084917af148384c1e8396addcec2fca2a9f2c3918cad9676e12cdaad7dc7dfb2,12,5849755c-2f70-4f9c-95cc-0092d79d43eb,0,2,Online,150.7.29.164,Mobile,aarna85,Qui quo velit officia tenetur nemo. Quisquam harum ullam qui laudantium labore. Quidem consequatur harum praesentium illo doloribus officia.
8/19/2022 23:40,388.16,Vihaan Walla,bd9821d2d86a049aad49919da593e15344bc7604442d9e4a478500b525687ed2,Sha Inc,5772,Gangtok,EUR,Visa,25-Dec,6165d33e490f91dbf808b194904d4f07c550d5e3a19c9e776e0c895136ec9fa2,12,7f971cb1-6bd3-48f2-8fa5-2bef220ab4a4,0,1,In-Person,219.61.43.198,Desktop,fatehgupta,Distinctio ex expedita perspiciatis dicta dolorum. Blanditiis laboriosam eligendi corrupti. Dolores asperiores reprehenderit corporis necessitatibus magni dicta.
6/23/2022 19:54,2346,Neysa Swaminathan,e2f2e91089d850c87a8d4e8f55f38d37f215c028d419ed9166e0a077a7921a80,"Sarin, Vaidya and Thaman",9217,Thoothukudi,EUR,American Express,26-Mar,cc6bb91d4a9aec9fe2e20ae49fd18166f522a7918a2ff2ecd1c2c35b5d4649e1,00,66a20e64-2cd8-46ea-95ce-dc9b8a0d326d,0,1,Online,189.141.204.144,Tablet,manjaribhat,"Minus explicabo ipsa neque nobis deleniti exercitationem. Voluptates adipisci ab totam reiciendis.
Ea consectetur ratione adipisci voluptates perferendis aperiam. Nulla qui necessitatibus."
5/6/2020 12:44,2538.36,Samar Sridhar,06879fbd48ee40a8f02163d533862d8cdaa84f57bf4ac8987f3b2a612911b268,Luthra-Bandi,8648,Tadipatri,USD,Visa,26-May,a3aaf5a0e9ad2901ab35ce73910be7fbbe1731a3ed1ff947a6ac395c5024a8b3,00,34274c8f-7b1b-4dc2-919f-b6e9f1e9bf41,0,2,In-Person,138.66.205.73,Mobile,,"Amet nostrum recusandae in. Nulla eius accusantium cupiditate tempore quaerat. Modi labore et amet.
Minus laudantium harum laudantium. Porro vel vitae dolores et."
10/10/2021 00:09,4572.85,Kiara Desai,26a3916ef3ef68e9896cc72ca5b4c3ed805ff55b2ed36edccdf2366d11fb0b13,Anand Group,3001,Vijayanagaram,EUR,MasterCard,24-Dec,bd94717d91260895035088525e817ea10375454f03aa3bd8b28b355a4cee22c5,05,8fa4605b-dcad-4d92-80b3-0a64172cbfbd,0,None,In-Person,162.26.105.72,Desktop,siya72,Perspiciatis commodi corrupti. Iusto deleniti sed. Veniam numquam quod rem numquam ea.
11/8/2022 20:57,907.46,Sara Gala,9218a6dd67a4bcdc788184f644dc3d86dbecd4d82c3c5827cec8f4cf4b4759e5,Brar LLC,8544,Hyderabad,INR,MasterCard,27-Dec,5c3e9040008c91509e2d28e5308034b677d4e2cc0b386863d4883bdb747eba1c,00,9935feeb-a06f-4826-bfaf-3de7748be8d2,0,2,In-Person,158.121.35.23,Desktop,devansh37,"Quam veniam odit aut facere maiores maiores. Nostrum accusantium corporis dolor hic deserunt dicta.
Fugiat quibusdam maxime error facilis. Rerum quam quos."
5/17/2022 17:20,4014.63,Khushi Bhat,0d1bc479a91ac7f4201701bd6479c19fe1b8d0cbbc82e2b213dc03a3a3316262,"Butala, Saraf and Banik",3962,Cuttack,INR,MasterCard,26-Mar,188c1fdca79d927f6e812133173fc41d3a4e57074de521020274caa9bb29af7d,12,7aff8237-12db-4a5b-8002-2ad12f6eee9e,0,2,In-Person,186.38.145.46,Tablet,etak,Voluptatum assumenda aliquid iure sit. At dicta ratione. Cumque esse ipsum architecto.
5/30/2023 06:03,2971.68,Aaryahi Bhatnagar,2a953f2446046430e1686b2c2a62c347e255f194968d70b53943fde6e60cf87c,Bawa Ltd,5122,Haldia,USD,MasterCard,24-Jan,b064bdba191139689139124101c1c39926326a9b221bd8dfcd603f065c3dc3b8,12,1593b256-6b47-4857-969f-1dd4400b909b,0,None,In-Person,219.141.199.105,Tablet,vivaan29,"Quae temporibus tempora quae similique aperiam natus fugit. Saepe qui ex iste dolore quidem. Error explicabo cumque numquam.
Blanditiis possimus doloribus sunt. Veritatis praesentium error."
8/26/2023 20:52,754.33,Sana Bava,ea6d44c6bd5653992a774a293a6c89827f2082d39ed5dfb83efb14894b3daf71,"Gera, Dora and Dara",1551,Malda,INR,Visa,30-Aug,cc6aed2709b80e146bebc151f1cf1dec5e323b58148535a433529155030e3a52,05,35311eea-8809-4aa8-99b9-1fa3c3575398,0,None,Online,142.56.219.180,Mobile,,"Velit ratione natus consequuntur sequi. Qui voluptas quas impedit omnis veniam eveniet.
Occaecati perferendis molestiae voluptates hic eligendi. Aliquid ab facilis.
Neque ab suscipit quasi."
5/31/2023 23:20,3006.39,Anaya Tella,6b665646756aa2411d85316f92bf9ac47d3cf89a88d6e23ce3faa6892bc1528e,Acharya-Kashyap,1046,Kurnool,INR,American Express,26-Oct,842d0b270c035fb2f5a9097b78949d9fb38438afae3ccc9c40495e36ba96345f,00,acf86b0d-d00e-401b-844a-62d6f304b6ac,0,None,In-Person,88.66.44.202,Mobile,,"Eaque accusamus illum quis. Quos neque magni odit. Iusto consectetur tempora tempore natus deleniti.
Earum aspernatur vel tempore illum. Sequi ipsum quibusdam."
10/8/2023 10:03,840.62,Eshani Shankar,2fab7786b82bfad91fb4fd2bc6618a7ada30f8c975646524b2ad132f12b51f4b,Bhargava-Mangat,9491,Meerut,EUR,MasterCard,28-Dec,04edd1d7736883194af3ddb232c337e53d17bc93cfd2140c4f4c4e0d966798b1,05,d6d48739-6739-495d-9620-3895e330ff83,0,None,In-Person,217.47.169.131,Desktop,,Necessitatibus fugiat iusto nulla quos odit distinctio. Quasi deserunt dolores esse id recusandae eligendi.
9/12/2021 22:28,4666.18,Biju Sekhon,338b9395844421a2096fda821637077e681657751ca7f6d4b5422b269fa46317,"Kothari, Dhillon and Sandhu",4830,Dharmavaram,USD,Visa,30-Jan,03a3d955b8799a90f1ff5a39479fde8e618f8ca3282d5b187186f2cf361abd32,12,d6641824-cc25-4492-b60a-cc4c66d9cbd0,0,1,Online,172.233.211.200,Mobile,,In facilis neque impedit pariatur. Non eaque facilis at corporis reprehenderit ut.
6/16/2021 16:51,923.31,Nehmat Ram,e9d1b0da7ea0a238e18d28991eda99d52f142c20e3b76fbe2128881fb5777c05,Seshadri LLC,2954,Jehanabad,INR,MasterCard,27-Jan,f53f2fb9b99180ea02b1f345b6c862e6bdde16e3b82a6886be0234d09a0e1645,00,3e96c044-3951-4f5e-b6fb-daadf56ae370,0,1,In-Person,51.233.242.210,Mobile,,"Neque dolor odit natus exercitationem. Rem laudantium amet eius facilis. Recusandae iure totam.
Asperiores nemo veniam quasi. Pariatur amet est ducimus. Quibusdam cupiditate tempore iste itaque."
8/22/2022 19:30,2613.96,Zeeshan Barad,ff6171e2fd98e6bdb1b0cad3f8279aa8f32621f6a238b65458ce2eccbeb493ea,Ramanathan-Bera,7166,Hyderabad,INR,American Express,25-Feb,833cd8c0e698745b16dac196a511327c3b30258a0d9b96710745d28eca932533,12,cbfa9f89-2fd8-4853-a650-7363e1c3def5,0,2,Online,149.190.124.245,Tablet,gatwal,Temporibus voluptatibus tenetur debitis autem repellendus totam. Distinctio rerum perferendis ducimus excepturi velit. Eos laudantium iste sapiente veritatis similique quos. Ad ullam cupiditate.
