Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
3/28/2023 02:39,2948.58,Romil Kurian,95cdba7bebcb1b1a2c997a446b95c6404446ad736f28dff056c20df485abb797,"Kannan, Jain and Gulati",9138,Pali,USD,MasterCard,Aug-32,828bb918957379a792e06807bcd291daf3c1efaa51325f32d2fc7e3280f1b983,0,2a0d0159-3afb-4eeb-8462-014221136250,0,2,Online,163.23.77.145,Mobile,,Quos esse id facilis incidunt. Reiciendis ad nesciunt dignissimos ratione rerum. Quo sint beatae maxime quisquam cupiditate ducimus.
12/1/2022 10:14,4633.21,Zeeshan Hayer,00591f73ec94c6f0ac6f6eb92159ab84adc23e7659db815620299439c5050a7e,Bala PLC,8641,New Delhi,EUR,Visa,28-Jun,b86e34f45be0f49c963011d31b4cec98a21943e72fb4a5dde40953a5e3c5a0e6,0,0b1937ab-84fe-4022-9382-728adfd94c2c,0,2,Online,172.91.4.170,Mobile,thakurtiya,"Ut consequatur sequi nam. Nulla aliquid dolorum consequuntur hic deleniti.
Molestiae laudantium quos facere vel. Nihil assumenda laboriosam hic cum."
7/6/2021 19:04,4904.58,Indrajit Tella,f1417a19e85b1a38383005936d40106bcf14e6bca0a54ddbf1a31997a0be5836,"Chaudhary, Atwal and Sani",4672,Silchar,USD,Visa,27-Apr,d6723fa996ced47773f2dea29cce9b11f951e6dafe321a84ac7d32791c3b4660,12,57995fff-8e28-4011-acc1-a41418ee3149,0,None,Online,223.154.77.74,Desktop,shayak67,"Ducimus quas velit labore. Error illum iste eum.
Perspiciatis tenetur repellendus fugit doloremque enim provident cum. Ratione consequuntur laudantium fugiat. Blanditiis quos perferendis dolor quos."
5/27/2021 20:23,2198.45,Rasha Suri,10253e019ab9b8844d90d3f2a8824fe699d5d0846f753760a7c2a437a7e4b843,Bumb PLC,9252,Baranagar,USD,American Express,Jan-33,968076be2e38cf897d4d6cea3faca9c037e1a4e3b4b7744fb2533e07751bd30a,0,6234c07c-88e0-47cd-a218-c84976c42100,0,None,Online,156.4.122.254,Tablet,,Quaerat modi nemo rem optio magni. Suscipit aspernatur nostrum incidunt minus facilis.
10/31/2022 17:39,1356.65,Azad Khanna,28eb8e72b9129e20bd08bc74a0c83e0d723f7c71f910115b3ba8f787ba695931,Gopal Group,6488,Bongaigaon,EUR,Visa,Jul-33,dcb5d6e69e4ded78464ae2843f509daf65c9ca09dfdc9b5ad69166341963a877,12,3fa573a8-c8c1-4073-8842-763cf5f5f24b,0,1,Online,157.176.73.139,Tablet,,"Voluptatum consectetur minus inventore perspiciatis vitae amet. Labore nam autem nesciunt laborum consectetur.
Qui facere repellat ducimus commodi. Accusamus nostrum optio cupiditate."
5/13/2023 00:49,1428.99,Ojas Kaur,a32f3326ed561b9afeaf18963b4e96334528651fee3f1d4cd8492083a7aeb0df,"Anand, Arya and Khosla",8891,Korba,USD,Visa,29-Jun,5f193b350c8aba4883dedf97367ef3080821470661d0a2e1faf420a300cb5ca8,0,b29423ce-f873-4521-8526-02ae7ddfacb2,0,1,Online,209.110.34.44,Tablet,,"Enim id cumque adipisci molestiae fuga delectus dolorem. Nemo eos molestias voluptates. Iste ipsam minima nobis et quasi quo.
Necessitatibus non illum ipsa repudiandae quod ex."
3/22/2021 14:25,3854.42,Aarav Goswami,a54a88bdb04e47d5f45b09ea8c01666760e91a1d6953a58e453a06123e002dff,Bhavsar-Khatri,4490,Kakinada,USD,American Express,Jan-32,1e68ed4e3d58a51096a7feea3947f40debf1fd9246ec977eb62ab93c81823ad9,12,03145285-955b-41bd-aac1-84300191549a,0,1,In-Person,222.168.231.124,Desktop,,"Ad ipsa labore rem at placeat. Dicta quae deleniti nobis doloremque. Explicabo eos maiores.
Libero distinctio error. Repudiandae dicta ab architecto. Ratione iste tenetur alias minima odit."
12/27/2022 12:48,1817.34,Jayan Krish,0524698807811ad468ffbe3a9400932de1a40d7b67f644788f651237f8fac738,Dalal-Sama,6920,Vadodara,USD,American Express,26-Dec,81f27f8a7d8766c72c0307a31327c1fad9007c6c3d33724ad2a5c0a8fe0df33d,12,6daf8a28-f6ce-422a-96f3-4ecd8f4cbab4,0,1,Online,137.158.233.22,Tablet,,"Rerum veniam beatae error. Natus sint dolor magni nisi autem adipisci. Perferendis eveniet repellendus dolorem facilis aperiam.
Asperiores error tempore id ad. Ex distinctio consequuntur."
4/9/2020 05:53,4322.56,Aaryahi Wable,5b9f16cfaeaa357f42819ce0d783fc34a1a91237c33ce5e4295e228e5c97510e,"Gola, Wali and Rege",7705,Gwalior,USD,MasterCard,25-Jul,5620e84be3e5141819e0d9e4ba10b782ba40e232e56352ed636dc0282161b543,0,7544ec2c-2a52-4e08-8371-506825470471,0,1,In-Person,144.198.190.142,Mobile,,"Quod explicabo itaque quod iure voluptas. Aliquam hic delectus cumque magni debitis. Aut omnis laudantium.
Asperiores numquam molestias cum pariatur. Eius expedita doloremque tenetur eos."
12/19/2021 20:18,824.63,Dharmajan Kala,b6bbcae1a867e06da368575adcb01a6b4b9396781d495eedff932bd691f78b96,"Luthra, Bains and Vaidya",6953,Ambattur,INR,Visa,29-May,4099ed5ba70aebc5a9dc26bc2093d4b45839f99b306bd12f68cedfd351e6ab7a,5,d82a1f87-2210-4ce8-a033-6823845003a6,0,1,In-Person,64.92.39.106,Tablet,hsethi,Minima illo voluptas iusto ut veritatis voluptates tenetur. Doloribus consequatur cupiditate occaecati sunt.
