Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
10/16/2021 20:06,4616.72,Krish Kapur,17c64cf07edc4c1812b4b818f03dc0d47a1a5a740addbd8ab35b1101e274d87d,Comar-Kata,9296,Sasaram,USD,American Express,26-Aug,21ef779311a43f0e067d0f4f600bb5451a8a7e093662086a1fe6a75d27d7892a,0,211d2987-47be-4fb3-a625-aa8b49b852b7,0,3 or more,Online,202.159.188.24,Mobile,nirvaandoctor,Quidem velit doloremque sed sed mollitia sequi. Quaerat quos eaque quibusdam id error sequi. Suscipit iure dignissimos dolorum a.
11/12/2021 21:45,1445.69,Onkar Bains,352eb8d75eedd1265e5ba7996701ea4c10f42908d9a6ac1c1582b0dcee9ac06a,Chandran Group,2018,Aizawl,INR,MasterCard,28-Jun,4cc3d9cba4633096fadf09ea1106b4b321ab81b1d461c3d6994f0e303f631249,0,5a1e9478-683e-465f-a00f-9d69a037f614,0,3 or more,Online,107.76.68.243,Tablet,indrajitrandhawa,Deleniti voluptate dolores autem quia laboriosam cumque. Delectus recusandae temporibus labore non. Aut alias nobis rerum sequi similique.
6/13/2020 12:11,2842.11,Siya Kota,283da1caded853eca3b6b0dd0ce8969f25e7be5591d2cf77d1c1e006b3c90bca,"Anand, Rau and Dalal",6039,Warangal,USD,Visa,25-Sep,59b524f8de039389005bce58385cae1d9241abd663e87647727abc8802e85c3b,5,51ba8a0a-8b7f-4f7e-8d94-d85d76f87d3a,0,3 or more,In-Person,135.53.232.208,Mobile,ehsaandani,Necessitatibus quia autem voluptatibus deleniti. Facilis mollitia consequatur totam amet. Veritatis cum modi ullam deleniti. Iusto aspernatur excepturi.
5/15/2021 18:14,2179.51,Lakshit Sarkar,e9b0c0a2001bdc7e5d6cabd26264feebae127bffc615df81fae9ddd9430726cb,Bora Group,7243,Darbhanga,INR,Visa,26-Jan,ec1c7d93ba051204e4fea7e167f540c2136769c82329c53f5b7a0770bb237987,12,a09cb9ee-e93d-4570-9db3-f4c40719af5e,0,1,In-Person,193.57.220.196,Mobile,kismatarya,Esse minima dolores cum possimus. Distinctio fugit in facere. Voluptatem consequuntur modi animi soluta dicta.
2/12/2022 15:19,3416.41,Veer Warrior,e5464bf1a85dbf9e3a06b14e71e7d89fdac360a5e5ff8292b104e4e3e37add66,Gandhi Inc,8855,Sirsa,INR,American Express,24-Nov,3f1bb7c0da3c01e685edd592f3a3ca0b149a399d25b97c0da47118c24a39f59a,0,3e3fbf27-8d4e-450c-9db3-0af43c706307,0,3 or more,Online,209.134.206.166,Tablet,ochowdhury,"Sit voluptatum in sapiente iste suscipit dolore.
Corporis rem voluptate quaerat. Molestiae aliquid laboriosam debitis."
7/16/2021 06:31,1887.45,Yuvraj  Som,a7e5b733cbb3426b8df97fd254b5089bdaa319577303b1480ef5d56654461d1e,Guha PLC,9248,Sirsa,USD,MasterCard,Feb-32,ffdb47b70fde8d226cdcfe3c8fc75577a35b6a5bd797c3afb6c9a1259ffd630e,0,0a39e9ac-e54e-41fe-aaca-de0416a4e5b7,0,1,Online,135.106.66.194,Mobile,,Asperiores autem qui ducimus voluptates officia consequuntur id. Aspernatur assumenda rerum dicta. Modi inventore unde aliquid eos ea.
3/21/2020 23:03,1423.51,Pihu Baral,5026144ed60c6182cc4d0f21f6914a21f0f1f36817c40e72d5f29cd44a67c85d,"Bedi, Tandon and Anand",7546,Durgapur,USD,American Express,28-Sep,7b2c21ead1522776414b5a256722903b465fd0c8e029005fcd865144a429da52,0,b3f6e0c0-be61-4794-9100-91318910ed3d,0,2,In-Person,200.125.75.118,Tablet,,"Veniam cupiditate porro porro dolorum ducimus. Quam labore corporis neque tempora inventore.
Officia inventore reprehenderit eius perspiciatis saepe."
9/27/2023 10:50,4397.02,Kiara Subramaniam,cc9b501aeb3e7ff94278cf32c6bc79f770a9f855044807f2d4395718e28f5c4c,Ganguly LLC,3435,Ambattur,USD,MasterCard,31-Mar,814fd2e8e45e9a6d3e1f6ff86867aaf2251ccd07f3eed02708fae286192c29e3,0,dd2ee7aa-01fb-42a3-b557-edc984add56c,0,3 or more,In-Person,222.226.165.125,Tablet,kiaan69,"Eius delectus est occaecati distinctio rem. Odio incidunt laudantium illo sunt soluta dicta accusantium.
Voluptatibus culpa assumenda magnam. Reiciendis numquam blanditiis modi fugiat quaerat."
9/16/2020 15:47,155.83,Lakshit Varghese,32e8ffa12a1088a21f005f5b38fef6dac86f921ce25cf5f2e7c57776684a1b3b,Karnik and Sons,3605,Tirunelveli,EUR,American Express,26-Apr,cc6aed2709b80e146bebc151f1cf1dec5e323b58148535a433529155030e3a52,5,e7d704cf-5620-4695-8cd7-8118a5935c09,0,3 or more,In-Person,81.253.212.199,Mobile,amanne,Nulla culpa et molestias ipsum. Nobis labore culpa ad neque quod. Nemo optio atque fugiat doloremque.
6/29/2021 16:51,2249.06,Zoya Savant,ebeb331b5eae7bc69473dd2e702061ee7f10d0fdeb91f04015cacf0e360a8e0f,Amble Inc,8618,Gandhidham,USD,American Express,31-Oct,30eec89ddd9c342ef28a87f731d6e50ba977baf12d7caa7045a9d56b0e923f03,5,22d0b5cc-4f5f-4ff6-8ed3-dc7e89337114,0,2,Online,21.105.201.218,Mobile,divyansh87,Nulla aperiam officia in hic id unde. Velit deleniti fugit quidem ea voluptatibus.
10/12/2020 11:13,2725.62,Lavanya Deep,dacfad125957cb4bb491e21180bfb8afd049735c998c75fe550a253fb2eba60c,Yohannan Ltd,7854,Nangloi Jat,EUR,Visa,31-Jul,7a874734355315df05fa7ac8e580093c78a9f51b3862f9ef1e01cec366f0e02f,12,4d46e9d5-7727-41a9-9993-a6a5ae0cdb45,0,3 or more,Online,171.109.46.33,Mobile,,"Sunt rem perferendis quas. Id illum vel. Magnam consectetur aliquid corrupti maxime atque numquam. Dignissimos vitae eaque nulla ab quibusdam qui a.
Necessitatibus quibusdam asperiores aperiam."
1/17/2021 01:17,826.99,Nayantara Tank,424a826a3f204363d647dca804f28b6acb7e5facf2e9bf529832a3283277e988,Subramaniam Group,6859,Bhilai,USD,MasterCard,Jun-31,219de1387a6743e583e805aad3bf0ffc69dc2107e6d233d43ee8ab62434729e9,12,e8b33125-5b29-41c6-8bdd-4c93aa535a2a,0,1,In-Person,215.130.23.123,Mobile,chhabraanaya,"Laborum iure natus nesciunt dignissimos ipsum. Quos nobis rerum. Quas sint unde rerum perferendis nihil.
Quam tempora repellendus porro. Nihil ratione animi sed impedit laboriosam repellendus."
5/13/2021 01:05,3346.97,Aarush Khare,66f7c0cb22051863ae7aa93bedda4da97759ecd5965a744eb3fb1e7647d99d9e,"Buch, Vig and Wable",1897,Haldia,INR,MasterCard,27-May,35c71bd7eaf4607047bb7c186d17251942204229b897e033923b13dc8ce2d109,0,e9549a21-1063-42e1-8d6e-d056daba5b83,0,None,In-Person,215.132.119.37,Desktop,divij07,"Earum eveniet autem aliquid quo assumenda quasi. Quam molestias deleniti assumenda ipsam est.
Quisquam quibusdam assumenda quasi voluptatum nemo neque."
9/4/2022 13:30,2089.69,Taimur Golla,4404a41f7b2cb40a814c9c3b091ec1eda2642d1df809f863d03e03e9cde1e318,Batra-Dube,3066,Nizamabad,USD,Visa,27-Dec,5658b88806a236b6439a7ecd0a87af2475a02a848095304c6d25981ae5e7e9a9,12,ba7bc7e8-1d18-412e-8e67-1947a2895758,0,1,In-Person,167.209.19.203,Mobile,,Assumenda corrupti praesentium dolorem. Culpa nisi exercitationem laudantium fuga necessitatibus ipsam voluptates. Voluptatem deserunt natus rem blanditiis iure voluptatibus.
10/21/2022 13:49,2620.19,Romil Gandhi,52a0304ea25a94c3dcfcf2dea4ea83e2379a1ac7e03861d1b0848bcbb666a581,Banerjee Group,5506,Panipat,EUR,Visa,28-Jul,5e7f2276a9a8269fc61a6b9675b11a4b6d69c0b4c68c09c33604435b9bb5efa4,12,2d243697-2c38-4181-b25b-88765418f144,0,3 or more,In-Person,43.212.84.57,Mobile,charvi70,Iusto voluptas tenetur est nostrum. Velit molestiae cum sed hic animi. Minus libero veritatis.
