Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
4/15/2023 20:28,2500.93,Ishaan Garg,5fe7ab9bdea6721e7c523955e87a8999defb3757ca72f618dab00040e8ca096e,Sachdeva Inc,3539,Saharanpur,EUR,American Express,28-Oct,9f6cb78c09b22a1a10564f6be4a1784327a42ff11a10a31d355435db59f44710,5,db096aac-6835-495e-aaa3-4d82665d156a,1,1,In-Person,147.17.133.152,Desktop,,Natus voluptates officiis quod delectus corrupti molestias. In in esse facilis iusto consequatur.
4/28/2020 08:36,3369.3,Kiara Kalla,feb56808a58530999fc24d497c08921d8d5605ce81c6b8c3cdba1ebd30a8a2b9,Ramaswamy-Swamy,2732,Kanpur,EUR,American Express,25-Nov,8eba3ded9f5f3cbb5ed3e427e665cdae058aa4a677d92d895aefc4729477a1e5,0,5aca5952-cc27-4d6f-b612-d7af473b73e1,1,2,Online,17.97.43.210,Desktop,,Pariatur labore earum doloribus itaque. Architecto sit ad velit unde culpa.
4/28/2021 07:49,4550.32,Mohanlal Dani,a3f9eecfd39b4997172015b7b96e81c587e5062fec89a20c02f5cc4b3fd5456b,Rajagopal-Venkatesh,4371,Rourkela,INR,Visa,Feb-32,fc95ce176603e9e1d1ffee39023b31dd856e00ad030526902604ed2a68a12c4b,12,49520297-ce2d-4f75-8e00-3c17ee827f03,1,3 or more,Online,99.111.217.227,Mobile,,Dignissimos blanditiis consectetur harum modi dolorem fugit architecto. Libero error exercitationem.
7/28/2023 12:12,889.58,Dhanush Ben,a1370ba627718d2c8de830d559985515542d046401dc14308cda6b6ae588cf07,"Shah, Gala and Barad",8907,Bhind,USD,Visa,Feb-31,6ffbae9aaff664bd4739f51a6c7883a2c3ce74e9227a6aff728d0d57ad56f234,12,73ab78f4-f0bc-45c6-a424-4e07fb208ec8,1,1,Online,12.8.122.125,Tablet,,"Dicta natus odit magnam. Deserunt blanditiis dolorem consequuntur illo.
Laborum quasi amet placeat ad. Nemo laudantium dicta reiciendis debitis ut soluta. Nihil fugit debitis ipsum officia."
12/29/2020 22:18,4611.56,Hunar Zachariah,77408d75ba23c7d89d6f380846f22b5fce14969762b91e2351392acc571e4ee4,"Basu, Goyal and Vig",9855,Guntakal,INR,MasterCard,29-Nov,f747870ae666c39b589f577856a0f7198b3b81269cb0326de86d8046f2cf72db,5,0e2f402f-ae7c-4a77-98d2-628dfd46c53c,1,None,Online,165.10.134.174,Desktop,,Fuga exercitationem aperiam incidunt. Ut voluptate beatae sint atque assumenda exercitationem. Quo harum earum et molestiae deleniti eius quas.
1/26/2022 05:00,4542.61,Vihaan Warrior,1f59e3b125334e4cd4381d054179c7b694807d6cd79d537a3ca70e405ac8d5f7,"Bhat, Garde and Suri",3476,Barasat,INR,Visa,31-Jul,aaf01d71b55e51b1a3051cbb3cdc0646578dcda722b2922072a81f257b1a9821,0,fd7465c8-0c78-4f8c-b483-6f9206272c3d,1,1,Online,159.90.91.169,Tablet,,Fuga modi consequuntur molestiae maxime voluptatem pariatur. Nemo occaecati tempora nesciunt harum. Soluta sit occaecati quos temporibus impedit nihil.
3/21/2022 11:54,957.3,Eshani Devi,ec87277fb756c4b2f0787c0c8076a6de176eb1e52719e5c34fdd8dfa80d32043,Raman Inc,4391,Jammu,EUR,American Express,Sep-31,613854558120137287d7edd940f2614df8626eefc055bf3c2ed882c115038faa,0,a150e342-5700-42fe-97c7-05402eab2f78,1,1,In-Person,134.50.160.26,Tablet,zaurora,Ut maiores mollitia optio et dicta. Dicta possimus non quidem modi debitis. Facere odio saepe repellendus.
3/16/2020 04:15,4765.67,Shalv Thaman,be39052e864beb027b0918d8933ff4f766c514dce41fc1c5fa62b26b2e9a3328,Bhavsar-Vohra,9468,Bhilwara,USD,American Express,25-Jul,94f8607915dff25f013e45fc0642fb9830b0fb25ab0ab46d477eaf1061def379,5,fcbcea92-3964-465e-88e2-10130ce61724,1,1,In-Person,138.49.4.246,Desktop,akarsh96,Nihil nulla mollitia. Recusandae explicabo cumque tempore. At dignissimos exercitationem fugit voluptas. Praesentium consectetur dolores nisi nemo consectetur blanditiis.
7/14/2021 03:53,607.48,Riya Mangal,906a964f488ca1c94bf17d7ba150c9e94fce0d1d3c9f0303965a015462c10f4f,Jha PLC,2455,Hazaribagh,INR,Visa,29-Dec,718127812c05853f0bec61582a4a3840b1c844fe11fe1a004b5b7eb8b8b59846,5,e4c3ae6c-b795-40aa-b59c-23d346649cb3,1,1,In-Person,195.59.118.107,Tablet,gbaral,"Rerum enim beatae rem corrupti consectetur dolor.
Voluptates commodi ipsam expedita perspiciatis quibusdam quos cum. Laudantium veritatis maxime culpa ipsa mollitia omnis."
1/1/2022 13:51,3976.34,Charvi Goda,1715fdbccacad0fc21b36a4f881cfcf9c3595dd5c5e100dcee1e197c73e79085,"Babu, Chauhan and Kala",2425,Madanapalle,USD,MasterCard,25-Dec,406b783f721b16ffbe467c444fae075231ec3a21b14cff2a8f376338a89e339a,0,22ef7661-c099-41ca-94f6-86ae0e1b9a1f,1,3 or more,In-Person,192.221.61.154,Mobile,stuvanedwin,Ut minus soluta quas quisquam nihil. Enim inventore fugit doloribus a animi. Illo quas praesentium numquam. Animi beatae consectetur fugiat esse soluta saepe.
