Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
9/24/2022 13:54,285.88,Shray Soman,daca51bffe0fc4eaaa7c430917f94b75fd8937124922549632bcd15afd89dc00,"Rajagopalan, Ghose and Kant",3590,Khammam,INR,MasterCard,29-Apr,01299ac65733b5a3d774265fbfe8396b8611e5e3321855dbc541cd301e71fe5e,5,b7f69cbc-a03d-41f8-adca-75920b0242c3,1,None,Online,18.106.240.6,Tablet,,"Consequatur corporis minima ad vero deserunt nostrum. Laborum laudantium voluptatum porro dolorum.
Itaque ut quibusdam eius. Impedit at itaque assumenda ullam eaque."
7/24/2020 11:20,1777.32,Lakshit Bakshi,d5366dd9be3a0266c0252baceaa6332210ed4dbd0ef252a4e2f45707c290f4b4,Sule PLC,7277,Vasai-Virar,EUR,American Express,26-Mar,ad8fa913d25b3970c6efa8ca504da8ba670ce2a9cf012d399b71924deb483d3f,12,ad53cc8e-8412-422e-8cad-4176daac8387,1,None,Online,212.48.185.128,Mobile,jloyal,"Dolore repellendus odio deleniti. Eaque quibusdam nobis similique aperiam perferendis.
Illo numquam earum at quidem rem est. Quis explicabo quasi quod sit accusamus."
3/18/2023 01:05,3939.01,Riya Bobal,4737a6384aa1c3c31f7768b86633d6a8401dd6ab4a8ff1f3c876a82830a98e57,Badal PLC,9297,Nangloi Jat,USD,Visa,29-Nov,eb3be230bbd2844b1f5d8f2e4fab9ffba8ab22cfeeb69c4c1361993ba4f377b9,5,f09cecd6-0d74-4551-8089-a31d64e6b9c5,1,3 or more,In-Person,17.190.112.46,Mobile,,"Unde beatae perspiciatis sapiente. Voluptates magnam debitis facere officiis assumenda.
Dolorum nisi consequatur delectus sint dolor dolorum. Quae ullam nihil ullam."
12/16/2021 06:22,1687.33,Mannat Rout,9deacc3a9efd6e382826d400620aca5f23ed94327578e5cee370ce1278a99919,Dua Ltd,2940,Adoni,INR,MasterCard,31-Mar,48a1a756f2d83f1dc57bbf14052b70a6f40d0fceed6662812e34903a9fe90924,5,6b4e4e43-5b73-4906-9973-299a1b2a5e71,1,2,Online,196.153.28.131,Desktop,,Molestias assumenda consectetur itaque veritatis non vero. Sequi ipsa aliquam fugiat dolorem. Occaecati cum qui debitis nemo qui.
1/14/2020 21:03,3341.97,Lagan Dutt,15bbdcdc198266c9c17633ffb7bf59ef1d48ad76db226773291e5da19d47383d,Ramesh Inc,9661,Farrukhabad,USD,American Express,27-May,33512007840ced1bb0aab68f47cb5f702abd494a15f26bcbe26a1e47af03d841,5,92a7490d-89cc-43db-81a9-d152895813aa,1,2,In-Person,112.90.206.208,Mobile,hrishita37,"Voluptatem voluptatem officiis alias eius beatae. Cumque incidunt non laboriosam sunt libero in.
Repellat sunt qui optio animi eos. Laboriosam neque aperiam.
Neque quisquam quos et debitis quo."
9/10/2022 05:59,4514.53,Ivan Loyal,8d7967ba4a7d372708eca312d518026dd2d83d42e5f0be0e60ea4d033ab62236,"Sant, Chawla and Wali",8521,Aizawl,USD,Visa,29-Aug,e6f095e985e6762f1538b47ff1abda58dbe8ce088b16d8a5744fc179e9a2fc16,0,df575129-3416-4c59-b282-d57267515ce1,1,3 or more,In-Person,39.33.247.78,Tablet,ydey,"Architecto natus neque fuga. Voluptate dolor illo laboriosam quo harum.
Id error ex iusto dolores hic fuga autem. Adipisci ea quo.
Aspernatur recusandae mollitia ratione doloremque inventore."
4/19/2020 15:18,1805.22,Hiran Subramaniam,e16012949dcef56d7d31f282999f3e62cb56b4db619d750d05e0323456f3847a,Roy-Dugar,2861,Darbhanga,EUR,American Express,28-Oct,bb9b8ef813475d1e0ad84e2505af6656d16c990b1f77efaf9324e8fbcae2db67,12,bd108738-9fe4-46da-9209-065a0bacd9ac,1,2,In-Person,78.90.166.61,Mobile,pseth,Magni harum aliquid quia. Ipsum illo dolores repellendus porro nam occaecati. Reiciendis minima illum omnis vero quia.
4/9/2021 05:43,453.19,Ritvik Lall,ce78eb3645b0a08add4c97fbe76d44fbb66cd2855cbb0d17d936584579697aba,"Bose, Krishnamurthy and Deep",7385,Kamarhati,INR,Visa,29-Apr,2cfc8ccbd7c0b17615323b41e815651ff2ae9ffae45a4599c0499b98ff940429,0,ff4fc54c-9057-4e33-aaa1-f344f6f7b42a,1,None,Online,182.126.13.194,Mobile,arnav79,"Cupiditate aperiam cupiditate debitis doloremque ea. Exercitationem unde quos reiciendis tempora.
Ea assumenda praesentium quos sunt iure ducimus.
Soluta molestiae cumque nisi fuga nisi."
5/3/2022 17:20,4172.21,Tanya Khalsa,3fe204cb8cf91a36f31cb8009e3ec5749d147007babf9ab54f825e577cf0e4d3,"Randhawa, Khanna and Kamdar",2162,Bhagalpur,USD,Visa,30-Aug,d86580a57f7bf542e85202283cb845953c9d28f80a8e651db08b2fc0b2d6a731,5,a836d1e0-9e0f-490a-b8aa-f8c67da63b02,1,1,In-Person,151.74.51.49,Mobile,,"Ducimus optio nulla ad cum deserunt eum. Aliquam aperiam facere ipsam.
Ducimus provident perspiciatis esse quae corporis. Ducimus omnis quidem atque voluptatum cupiditate veniam."
3/21/2023 18:41,1042.79,Samiha Chauhan,757b72ce3f0df46f81ccbe0057d1e19bd836a877bee354f1558d8da4cd4f1140,Warrior Ltd,1654,Bokaro,INR,Visa,28-Dec,1c63ed9164d61acfd1f4f3a7b6dfacbd98d1dc01e755b7b558c6af0491154a2e,0,37c09112-7c2a-41da-98ef-64304dde7ffe,1,None,In-Person,209.245.72.246,Mobile,,Repellat at itaque nulla quis illum. Ipsum qui earum excepturi. Deleniti debitis alias sint deserunt tempora. Voluptatibus minima facilis harum.
