Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
1/25/2023 23:19,732.31,Stuvan Salvi,eca455a5cfc7d8abc77ddef80a826696977737808ebf14e6f40aa71061cd8aaa,Koshy-Sarma,2284,Latur,USD,Visa,25-Apr,5f2703a5211db19a9020f7443f6a440fbc95cda90b7c2d53912f5ce47d050056,12,ea09c5d6-0dc8-43b6-bb74-e3e59f5f9e01,1,2,Online,29.6.17.226,Desktop,iborah,"Magni voluptate nemo tenetur. Architecto assumenda ut.
Optio sunt maiores sunt natus dolor. Totam iste doloribus asperiores. Eligendi deleniti natus iure possimus."
12/1/2021 21:57,3704.84,Prerak Rama,3b80b71da7a6d76bdfc6f5c8bb65ec767dc049b9b32d9361dfff9a5cd37c7461,"Tiwari, Sama and Dasgupta",7739,Junagadh,USD,Visa,24-Jan,d86c993d110ef8006edd379e345f801f90ecc4561092e6c0d6209163f53c84e0,12,365aea74-addb-45a0-934a-1424e5654ffe,1,1,In-Person,130.145.253.177,Tablet,vardaniya42,"Odio consectetur sint sint alias aliquid. Fugit quam fuga. Magnam ad aperiam quis perferendis.
Earum odio reiciendis velit delectus in. Nihil et dolores veniam tenetur."
12/30/2021 17:11,643.18,Vihaan Hayer,362c25a2858b4b56b2e9b21fd8e41add71605a3c23abe5a4df1dd2688650f62d,Dubey-Dhaliwal,9667,Pudukkottai,INR,American Express,30-Dec,83151157c10d85af7c84657c71c3e3603d955160f0526fce672481da83a2e090,5,05a9bd37-1200-446a-a3ec-88f92216a632,1,2,In-Person,218.27.222.127,Mobile,,Illo dolores impedit perferendis sapiente aut temporibus. Quae eaque reprehenderit perspiciatis error. Eaque totam cupiditate sapiente. Consequuntur quidem ducimus reiciendis maiores.
1/27/2020 16:47,4479.96,Darshit Choudhury,512ddafda5d6a12918fab230ab5d9fb64dd4bcaf429e28e479358c0dbe0a9385,Dixit-Karnik,5911,Katihar,EUR,Visa,27-Jul,68e1e435db6ab43fd38ae5df6c6a03b50a5c9c6290f4691e1b670a786c0ebe12,12,1572aae9-af83-4cfd-8362-1117935b5222,1,3 or more,Online,122.38.67.158,Tablet,ranbirsane,Sed ipsum suscipit fugit voluptas voluptate alias.
9/9/2022 14:03,2265.48,Lavanya Zacharia,d8dda6992e2f26d61bb79cdb7f00f3f97aec0dd0c37b3088a8554a809b9ed9e2,"Dixit, Sarkar and Sahota",7880,Kolkata,USD,Visa,26-Mar,07e46896ba89f88776fed50a1b7895129f9b9af7d3b8b33ca23af478bb818d6c,5,4e1699cc-7d0d-4e6f-95c8-d4b72a47698b,1,1,In-Person,141.154.6.158,Mobile,advikasami,Aut doloribus maiores error similique tempore doloremque. Ab inventore suscipit adipisci. Aliquid temporibus porro.
9/17/2020 16:12,3073.3,Advik Thakkar,6a3b922972c585a961f061ffad010a8d7d432b8470c02a517c38c277861095e3,Chopra Ltd,4549,Pudukkottai,USD,American Express,Apr-31,cc6aed2709b80e146bebc151f1cf1dec5e323b58148535a433529155030e3a52,5,0742fd2b-c97d-48f4-a09b-d07a7d2f3288,1,None,Online,78.80.111.154,Mobile,,"Delectus nobis accusantium voluptates non blanditiis blanditiis deserunt.
Ratione ratione iste voluptas quidem. Qui neque quasi voluptate suscipit."
2/5/2023 12:22,1049.38,Urvi Mahal,0fc7e14b7aa5279b5b9ad49376df6d1aeeea568abf4133bf2167d48f1f378269,Singhal and Sons,3170,Warangal,EUR,MasterCard,26-Apr,8b6cd7c429e83373dbd412f43d7422c0c4a127d93d0f2ad15909f0c2a3e7b320,12,a0737417-ff9a-4001-91b2-91dab77d832e,1,1,In-Person,149.71.94.117,Tablet,pchander,Quo voluptates quos accusamus porro numquam. Voluptatibus perspiciatis cum fugit nam voluptate. Cumque illum quidem pariatur rerum.
5/12/2021 21:13,3330.69,Charvi Raja,28d3412457abd6ef366dded72f7ddfc1e3cee7409baa81c5a43212caf4f32422,"Trivedi, Tara and Balay",9880,Dehri,EUR,MasterCard,24-Mar,b8aed072d29403ece56ae9641638ddd50d420f950bde0eefc092ee8879554141,0,05dc7f6a-d7c5-449a-aeaf-0c31f9c507ce,1,None,In-Person,117.64.32.150,Mobile,ira77,Adipisci nemo rem ut minus fugiat. Saepe delectus provident aliquam ratione. Facilis amet quos minus voluptatum.
8/24/2021 04:12,843.08,Adira Deep,619ab13327e91b6382dcb029b642b7ab2cfc3372fcbd4c9eb181392fd14bfff8,"Sodhi, Viswanathan and Korpal",5705,Saharsa,USD,MasterCard,29-Jun,85ea151b8c5b5ab0d3349100e441bd4b8dc20740d429c16c3b85b77066386e75,0,a7130788-4170-459e-8154-2d92b80cc99c,1,3 or more,Online,211.58.59.234,Mobile,senpihu,Culpa harum repudiandae soluta. Dignissimos ut consequuntur quasi fuga inventore veniam. Sunt id in commodi.
3/16/2020 22:18,3491.29,Ryan Brar,d22dd721ac0d1b054c38fc204b6da54fd2527ccc34b0a4c01151526d6f8ba2e6,"Raval, Chandra and Brar",6233,Parbhani,USD,MasterCard,28-Sep,86ab8cbe5869bd1f9c70924e9c04fef3bbe3bbaaf4e816efeeaf7eb6a31937d2,0,be2f41c2-b67e-4e7c-894a-6b970bed22a4,1,3 or more,In-Person,223.25.60.45,Desktop,karanvaibhav,Ad corrupti enim dicta eos qui ad. In veritatis excepturi at eveniet. Hic esse nobis quibusdam nihil optio. Illum voluptatum exercitationem a sit fugiat dolor.
12/10/2020 15:54,3271.09,Purab Toor,439e1030467b411503485ce27c7d368845c7411119be14002b4c49fb997b5217,Sem-Banerjee,6663,Mangalore,EUR,American Express,27-Feb,f0bc318fb8965cad8d73d578cd03c63b7987dc6a79b906aada091e1b6a13443f,12,64a2976b-7f98-4a2c-9932-bbc4aef143ac,1,2,Online,130.29.44.40,Desktop,,Dolorum adipisci dicta aliquam iste non id. Tempore tempora deserunt hic exercitationem debitis non. Ducimus voluptatem aut inventore aliquam laborum facilis.
10/18/2022 16:18,304.56,Elakshi Hari,9603ccb5493f7ea6246d19ec8fd0301b6890d7af0f791f9ab6feacc7fca539a5,"Tripathi, Randhawa and Dash",7752,Eluru,USD,MasterCard,27-Aug,91d95f436356bc3df44d44406a139351debd062823258c8cdc67e8dadb9df256,5,9d61b3a1-1a06-4944-a102-142eec523798,1,2,In-Person,221.223.217.71,Desktop,miraan36,"Officiis fugit repellendus ipsa aut optio praesentium non. Iure qui maiores quod soluta. Odio saepe odit libero rem.
Nam ipsam earum sint quam. Accusamus quae debitis voluptatibus assumenda."
11/12/2020 08:56,777.92,Divij Mander,ddf0b433fe9ef95d4f5b274c0422d3f388f826fdfc062c515fdc6a2aed1c989f,"Kalla, Dayal and Sangha",2655,Indore,USD,American Express,24-Apr,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,12,72bf211c-9500-42f6-a783-03774a39cc95,1,None,In-Person,168.147.55.11,Desktop,alia85,"Saepe consequatur inventore sequi. Ullam animi mollitia illo sequi earum dolorem.
Eaque voluptates impedit maxime. Alias sed beatae eaque hic."
9/27/2021 23:28,3310.65,Anaya Ratta,3517746cda1495cdb6e01176d36758b2ceb64eb03994d5341935f0250bb1d171,"Varughese, Sem and Sandal",8993,Durg,USD,American Express,27-Mar,84f01dd97c687fb28a296bcc2ef1801446ea7405860595924eb2b5bb634718d1,0,17418721-dfaa-48ff-a49b-ed2473e9c4de,1,2,In-Person,156.76.39.68,Mobile,pchaudhari,Non nulla ratione voluptates sed tempora nesciunt nostrum. Suscipit natus dolorum repudiandae asperiores laboriosam fuga. Iure rem commodi molestias.
2/20/2021 21:16,4841.87,Purab Ganguly,30c2e4d3cdc2484a41e25181177a378eb4e8cb1ecf07cf5257f66324c657efe7,"Kade, Khatri and Lad",6485,Tiruvottiyur,INR,Visa,25-Jun,04edd1d7736883194af3ddb232c337e53d17bc93cfd2140c4f4c4e0d966798b1,0,f3e7db17-f567-4042-b35b-59e871d35d07,1,2,In-Person,218.82.254.13,Tablet,,Quia veritatis repudiandae quae quae. Maxime consectetur similique quibusdam officiis eligendi voluptatum.
12/25/2021 00:25,1519.56,Advik Chaudhry,c924e369e9f3168db6eaecd34ff3d35720d84ca7cb33f1cd2e40bd161c242805,Virk PLC,3900,Tadepalligudem,INR,Visa,Sep-31,5b60f221d4a1852afd0194ad0857fae9c558608e35621dce43301e8c771b7877,12,1f541a55-0714-45cf-b4d8-8708032f3533,1,2,Online,146.208.176.206,Mobile,boseazad,"Consequuntur ea praesentium deserunt facilis doloremque. Ducimus atque nihil nobis cupiditate.
Facere deleniti et ullam fuga non. Rerum tempora doloribus maiores animi."
4/11/2023 18:13,4207.13,Ela Ravel,9e4c399dba95c41de07f1c18ec5c101d61ef9d6f853c3e9de9eb0128a640cdc4,Bhat-Gupta,7859,Jhansi,USD,American Express,26-Aug,a435270b90e9b7091c77f478df0b8f78dddd32079b75698b8de902061f74efaf,12,a98a0b73-870c-49a1-acfa-933ffc35dded,1,3 or more,Online,148.135.181.47,Desktop,jvirk,"Vel veritatis quo voluptatum eius vel dolore ullam. Quibusdam officia veniam.
Possimus quisquam nobis. Veritatis sapiente magnam cumque accusamus nesciunt."
