Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number (Hashed or Encrypted),Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code (Hashed or Encrypted),Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
12/9/2022 16:28,3670.83,Gokul Gupta,3d680169e394513b42e1448a90c3666abdd3e0d9f9b34b4fb9f5eb99095d7a8b,Seshadri and Sons,6471,Saharanpur,EUR,Visa,27-Feb,9bdb2af6799204a299c603994b8e400e4b1fd625efdb74066cc869fee42c9df3,5,20e0ae8b-03bb-4f54-a55f-5176d9e76bef,1,None,In-Person,206.223.213.98,Mobile,,Deleniti hic ex unde quam. Consectetur nihil soluta nesciunt blanditiis beatae recusandae error.
3/10/2021 10:44,4349.53,Abram Mane,5a42e4e4f1f656e457688e7a0c0a4c092dff5d1bcfcdb937eca0fa959c3bf567,"Vaidya, Wable and Sankaran",6045,Rajahmundry,USD,American Express,31-Mar,ad8fa913d25b3970c6efa8ca504da8ba670ce2a9cf012d399b71924deb483d3f,0,183e8ae9-b3ac-48cc-abe3-59896de8ec5b,1,None,In-Person,125.166.176.111,Mobile,banerjeeeva,Itaque eum temporibus deserunt quod vero reiciendis labore. Autem recusandae accusamus repudiandae deserunt repellat porro. Officia porro fugiat incidunt nam earum consequatur.
1/22/2022 07:38,402.04,Siya Saha,ade433a68bfd9aedafbcbe5b3bf742134d2d4b968ec8633fc508badbed1e2420,Mahajan Group,9534,Bhopal,INR,American Express,24-Sep,3346f2bbf6c34bd2dbe28bd1bb657d0e9c37392a1d5ec9929e6a5df4763ddc2d,0,d9ee98ed-5bb5-47a4-a83e-e229b0acff5d,1,2,Online,143.36.10.249,Mobile,,Unde blanditiis exercitationem provident exercitationem. Quod occaecati quam nulla atque reprehenderit in repellat. Id nulla nemo dolorem.
8/15/2023 14:12,676.7,Vaibhav Borah,6b3099273391b6c2b6f1d450ecc5070409e67b2d21ad1e4ad097cc566a4df76f,Dalal Ltd,8843,Mehsana,EUR,Visa,27-Jul,0f78540965a86402578f8188c826c1cb6c7ddcb608ae3a3201e532c7cacb6ce3,12,74f1a35a-6df5-4dd5-b9db-64596e65d053,1,1,Online,75.4.9.40,Tablet,tanyamammen,Similique vero dignissimos perferendis quasi et. Excepturi quia occaecati quod explicabo vitae. Placeat aliquid qui commodi iste at. Aspernatur saepe delectus tempore cupiditate.
2/13/2021 12:53,1076.8,Drishya Gopal,be74745372a077ec222b741a385c93f4a9fbc962e22b59a4ccb22fa4da96788d,Sharaf Inc,1507,Bellary,USD,Visa,29-Jun,2c69bc9b34fb0800a44a702e45019c107dfdc8273b9feb62c9615addc7138bde,5,3b308db3-411a-4539-b89c-2a6aa856ec51,1,None,In-Person,223.159.138.17,Mobile,,Cupiditate consequuntur veritatis. Facere in beatae excepturi nisi perferendis. Blanditiis laboriosam amet expedita enim voluptatibus labore blanditiis.
9/20/2020 16:24,126.1,Madhup Dhaliwal,522bf3dab9c6ddc8f0726b22b7be4e7957fbe3996026d6000f79bae310091d75,Sem-Dugal,7832,New Delhi,INR,Visa,25-Jun,eaa1938017b2d55e02387d0837e1b56bc124ae8a17624e10e366bae6c4b9c834,12,805fdcda-841b-4a3c-a70f-a3252b60e643,1,2,In-Person,137.168.185.207,Tablet,,Error quidem repellat officiis modi id consequatur. Voluptatem minus sint repellat eveniet.
9/17/2023 22:14,3648.72,Aayush Thaman,1a2ebb1fc2fcb013a34dadd608da2e6415125bf66fcc3c79f15e24faf740da85,"Divan, Raju and Malhotra",2432,Srikakulam,USD,Visa,27-Jan,343cacd3827e6de62a9e6a8bc455e0de0f4f6ad517c83a4c794d29caf73c32d7,0,474a0fb5-a7f0-4392-84cc-dc31b9dd3524,1,1,In-Person,94.111.203.193,Mobile,,"Sit numquam laborum culpa. Itaque eaque architecto ut nemo.
Necessitatibus amet illum praesentium vitae. Non distinctio dicta mollitia aperiam nesciunt voluptas."
8/4/2020 14:18,1149.19,Armaan Desai,7c675a55676393fe3caa021f022d8e46da5da0f5def6357d4e743b46f2022d63,Sachdeva-Lata,5304,Aurangabad,INR,MasterCard,24-Jun,495e31529a5c65b6b4cf448251dc8e13302ef0f52a0428ae3d1843341f29718d,0,ead3db00-5e89-4f78-848d-c0519acc26e5,1,None,Online,169.146.203.253,Desktop,shayakdara,"Ea excepturi similique quos.
Perferendis iusto ab. Quasi natus consequatur magni sapiente libero id.
Officia rem illum dolor culpa beatae. Magnam qui iste sed."
2/28/2020 10:31,1679.95,Shamik Sunder,ebf6bd6845cffc1626349daa89def9890a2df39d142d45649e23f84d1fac25ad,Madan Ltd,1384,Satara,USD,MasterCard,24-Feb,06de973bb45531d52cdbd483c5e50bcddaa2095f9515e03cfad490061cc9831e,12,28ce5903-8c06-43b7-b9c7-02f10762c2a9,1,2,Online,75.70.109.148,Tablet,ukaul,"Tempore ipsum nihil quis. Soluta debitis vero quae omnis distinctio.
Quibusdam a repudiandae maiores. Doloremque laudantium rem eum sapiente assumenda veniam."
7/31/2021 21:40,2557.42,Hazel Bassi,1541218d2b0268f177582e754c11799cef0145a9d3b01fbefc0f4842a397cab1,Sekhon LLC,2971,Madanapalle,INR,Visa,Oct-32,ea5b27556fbb134def2c2fbf944d9cdda3dbdb6b10473a1aec59f6f170c4ca3a,5,a59e1651-c87f-413b-8cb7-08882943e624,1,3 or more,In-Person,17.151.176.183,Desktop,tiyabhavsar,Amet natus cumque minus velit autem. Harum adipisci aliquid exercitationem nostrum. Dolore nemo quasi voluptates eaque et molestiae. Error nemo maiores voluptatum sapiente laboriosam odit.
